Matter,FA,MD,L1,L2,L3
1,3.75E-02,2.65E-03,2.76E-03,2.62E-03,2.57E-03
1,1.06E-02,3.17E-03,3.20E-03,3.19E-03,3.14E-03
1,2.97E-02,2.91E-03,3.00E-03,2.91E-03,2.82E-03
1,2.30E-02,3.04E-03,3.12E-03,3.02E-03,2.99E-03
1,3.43E-02,3.21E-03,3.30E-03,3.26E-03,3.09E-03
1,2.10E-02,2.69E-03,2.75E-03,2.68E-03,2.64E-03
1,3.70E-02,2.92E-03,3.04E-03,2.89E-03,2.84E-03
1,4.80E-02,3.01E-03,3.17E-03,2.98E-03,2.89E-03
1,3.35E-02,2.90E-03,2.97E-03,2.95E-03,2.79E-03
1,3.81E-02,3.22E-03,3.36E-03,3.15E-03,3.15E-03
1,2.82E-02,3.23E-03,3.33E-03,3.23E-03,3.14E-03
1,1.48E-01,2.07E-03,2.37E-03,2.11E-03,1.75E-03
1,1.04E-01,3.03E-03,3.33E-03,3.06E-03,2.70E-03
1,7.67E-02,3.17E-03,3.39E-03,3.21E-03,2.91E-03
1,7.28E-02,3.07E-03,3.27E-03,3.12E-03,2.83E-03
1,7.47E-02,3.15E-03,3.34E-03,3.23E-03,2.89E-03
1,8.04E-02,3.05E-03,3.27E-03,3.09E-03,2.78E-03
1,7.49E-02,2.95E-03,3.17E-03,2.96E-03,2.73E-03
1,7.93E-02,3.11E-03,3.32E-03,3.16E-03,2.84E-03
1,8.60E-02,2.90E-03,3.07E-03,3.01E-03,2.61E-03
1,7.19E-02,2.92E-03,3.14E-03,2.88E-03,2.73E-03
1,3.64E-01,2.15E-03,3.09E-03,1.73E-03,1.62E-03
1,7.21E-02,3.15E-03,3.36E-03,3.17E-03,2.91E-03
