Matter,T1,B0,ADC,FA,L1,L2,L3,RA,RD,TR,VR
1,0.00000,46.000,3.1434000E-03,1.3609000E-01,3.1434000E-03,2.8324000E-03,2.3843000E-03,1.1181000E-01,2.6083000E-03,8.3600000E-03,9.8094000E-01
1,130.84830,349.000,4.0250000E-03,1.7245000E-01,4.0250000E-03,3.2715000E-03,2.8622000E-03,1.4222000E-01,3.0669000E-03,1.0159000E-02,9.7065000E-01
1,73.34980,824.000,3.3750000E-03,1.5921000E-01,3.3750000E-03,2.8028000E-03,2.4599000E-03,1.3110000E-01,2.6314000E-03,8.6378000E-03,9.7488000E-01
1,0.17703,26.000,3.2721000E-03,1.9274000E-01,3.2721000E-03,2.8568000E-03,2.1978000E-03,1.5936000E-01,2.5273000E-03,8.3268000E-03,9.6082000E-01
1,141.28330,310.000,3.4331000E-03,1.4095000E-01,3.4331000E-03,2.7844000E-03,2.6485000E-03,1.1585000E-01,2.7164000E-03,8.8660000E-03,9.8084000E-01
1,55.31340,823.000,3.2445000E-03,1.3485000E-01,3.2445000E-03,2.6742000E-03,2.5200000E-03,1.1078000E-01,2.5971000E-03,8.4387000E-03,9.8238000E-01
1,57.66140,53.000,3.6462000E-03,1.8927000E-01,3.6462000E-03,3.0929000E-03,2.4707000E-03,1.5641000E-01,2.7818000E-03,9.2097000E-03,9.6303000E-01
1,119.88740,498.000,2.7872000E-03,1.8740000E-01,2.7872000E-03,2.4369000E-03,1.8942000E-03,1.5483000E-01,2.1655000E-03,7.1183000E-03,9.6309000E-01
1,252.62940,280.000,8.8974000E-04,2.1237000E-01,8.8974000E-04,7.6101000E-04,5.7208000E-04,1.7607000E-01,6.6654000E-04,2.2228000E-03,9.5226000E-01
1,222.85790,273.000,1.6597000E-03,1.5679000E-01,1.6597000E-03,1.5460000E-03,1.2119000E-03,1.2908000E-01,1.3789000E-03,4.4176000E-03,9.7388000E-01
1,165.17660,391.000,2.2890000E-03,2.0906000E-01,2.2890000E-03,1.6464000E-03,1.5838000E-03,1.7324000E-01,1.6151000E-03,5.5193000E-03,9.5855000E-01
1,203.47110,270.000,1.7045000E-03,2.7007000E-01,1.7045000E-03,1.1191000E-03,1.0549000E-03,2.2608000E-01,1.0870000E-03,3.8785000E-03,9.3121000E-01
1,185.30950,331.000,2.7224000E-03,1.7926000E-01,2.7224000E-03,2.1301000E-03,1.9352000E-03,1.4796000E-01,2.0326000E-03,6.7877000E-03,9.6889000E-01
1,122.36060,551.000,1.8668000E-03,8.8696000E-02,1.8668000E-03,1.6620000E-03,1.5717000E-03,7.2611000E-02,1.6168000E-03,5.1005000E-03,9.9226000E-01
1,144.98290,408.000,1.3969000E-03,2.4433000E-01,1.3969000E-03,9.7061000E-04,8.9373000E-04,2.0359000E-01,9.3217000E-04,3.2612000E-03,9.4326000E-01
1,119.06300,505.000,2.1297000E-03,1.5432000E-01,2.1297000E-03,1.8212000E-03,1.5590000E-03,1.2701000E-01,1.6901000E-03,5.5098000E-03,9.7601000E-01
1,75.94850,630.000,2.0878000E-03,7.3357000E-02,2.0878000E-03,2.0259000E-03,1.8112000E-03,6.0003000E-02,1.9186000E-03,5.9249000E-03,9.9448000E-01
1,134.08890,467.000,2.9684000E-03,2.4672000E-01,2.9684000E-03,2.1162000E-03,1.8542000E-03,2.0566000E-01,1.9852000E-03,6.9387000E-03,9.4133000E-01
1,40.83640,810.000,2.9713000E-03,3.2694000E-02,2.9713000E-03,2.8464000E-03,2.7876000E-03,2.6704000E-02,2.8170000E-03,8.6052000E-03,9.9894000E-01
1,247.90550,240.000,2.0071000E-03,6.2993000E-02,2.0071000E-03,1.9618000E-03,1.7788000E-03,5.1502000E-02,1.8703000E-03,5.7477000E-03,9.9594000E-01
1,220.48990,326.000,2.7387000E-03,6.5633000E-02,2.7387000E-03,2.5496000E-03,2.4026000E-03,5.3666000E-02,2.4761000E-03,7.6909000E-03,9.9570000E-01
1,154.56360,443.000,3.1667000E-03,7.7011000E-02,3.1667000E-03,3.0079000E-03,2.7159000E-03,6.3004000E-02,2.8619000E-03,8.8905000E-03,9.9396000E-01
1,231.39340,274.000,3.2061000E-03,9.7303000E-02,3.2061000E-03,2.8544000E-03,2.6456000E-03,7.9700000E-02,2.7500000E-03,8.7061000E-03,9.9062000E-01
1,132.20580,549.000,3.1039000E-03,7.5200000E-02,3.1039000E-03,2.8367000E-03,2.6754000E-03,6.1516000E-02,2.7561000E-03,8.6160000E-03,9.9439000E-01
1,79.50520,744.000,3.1246000E-03,4.7951000E-02,3.1246000E-03,2.8905000E-03,2.8681000E-03,3.9182000E-02,2.8793000E-03,8.8832000E-03,9.9774000E-01
